DRG Id,Provider Id,Total Discharges,Average Total Payments,Average Medicare Payments,Average Medicare Payments
151,100007,29,5219.51724137931,4048.93103448276,4048.93103448276
152,50625,12,10238.5,8628.66666666667,8628.66666666667
153,10033,16,8107.3125,3733.1875,3733.1875
154,70022,11,16971.8181818182,14163.9090909091,14163.9090909091
155,70022,17,10251.7647058824,7948.58823529412,7948.58823529412
156,100007,14,4545.5,3414.07142857143,3414.07142857143
157,100007,12,11143.8333333333,9662.41666666667,9662.41666666667
158,70022,11,9137.90909090909,7016.81818181818,7016.81818181818
163,10033,31,37822.935483871,32539.6774193548,32539.6774193548
164,10033,94,18207.7446808511,16357.914893617,16357.914893617
165,10033,54,13006.962962963,10581.6481481481,10581.6481481481
166,10033,89,35616.4943820225,25586.6292134831,25586.6292134831
167,10033,51,15048.2941176471,12860.2352941176,12860.2352941176
168,10033,22,10022.6363636364,8915.22727272727,8915.22727272727
175,10033,24,12741.5833333333,9280.45833333333,9280.45833333333
176,10033,20,7945.45,6970.45,6970.45
177,10033,83,21916.6024096386,11708.1204819277,11708.1204819277
178,10033,25,10150.4,8943.84,8943.84
179,70022,26,10803.5769230769,8615.23076923077,8615.23076923077
180,10033,22,12542.8636363636,11463.5909090909,11463.5909090909
181,10033,12,9127.33333333333,8005.0,8005.0
183,70022,18,16859.8888888889,14018.5,14018.5
184,10033,11,9565.36363636364,5051.45454545455,5051.45454545455
185,80001,11,7249.18181818182,3428.45454545455,3428.45454545455
186,10033,11,18927.0,17859.4545454545,17859.4545454545
187,10033,11,8619.90909090909,7786.09090909091,7786.09090909091
189,10033,76,11284.5394736842,8309.05263157895,8309.05263157895
190,10033,42,9540.73809523809,8308.64285714286,8308.64285714286
191,10033,33,7780.48484848485,6357.90909090909,6357.90909090909
192,10033,16,6142.875,4999.375,4999.375
193,10033,81,11430.2345679012,9759.67901234568,9759.67901234568
194,10033,99,9608.52525252525,6961.37373737374,6961.37373737374
195,10033,18,6782.16666666667,4457.94444444444,4457.94444444444
196,50441,11,35540.5454545454,31112.9090909091,31112.9090909091
197,70022,14,10485.9285714286,9434.14285714286,9434.14285714286
198,390111,12,10909.8333333333,7025.25,7025.25
199,70022,14,20011.3571428571,15801.7142857143,15801.7142857143
200,50441,12,22971.75,10020.3333333333,10020.3333333333
201,330024,13,8903.38461538462,6694.30769230769,6694.30769230769
202,10033,22,8598.77272727273,5630.90909090909,5630.90909090909
203,50625,24,6865.41666666667,4933.70833333333,4933.70833333333
204,10033,14,7197.57142857143,4450.5,4450.5
205,10033,40,16582.575,10559.9,10559.9
206,10033,17,7577.70588235294,5983.94117647059,5983.94117647059
207,10033,20,40374.95,39233.35,39233.35
208,10033,55,20815.6545454545,15635.8545454545,15635.8545454545
215,230046,11,133074.272727273,126551.272727273,126551.272727273
216,10033,21,59623.0,58508.3333333333,58508.3333333333
217,50108,17,54167.5882352941,52713.1176470588,52713.1176470588
218,90011,12,41054.4166666667,38787.5833333333,38787.5833333333
219,10033,151,48940.8013245033,46845.5496688742,46845.5496688742
220,10033,112,34222.2678571429,32102.7142857143,32102.7142857143
221,50262,21,57912.2380952381,45485.4761904762,45485.4761904762
222,90011,16,68318.8125,64760.8125,64760.8125
223,90011,17,53292.4117647059,46106.1764705882,46106.1764705882
224,90011,11,68625.1818181818,65195.2727272727,65195.2727272727
225,90011,15,44692.8,43182.4666666667,43182.4666666667
226,10033,15,48429.8,41042.4666666667,41042.4666666667
227,50108,15,50095.4,48718.6,48718.6
228,240010,23,69995.8695652174,66329.5217391304,66329.5217391304
229,10033,12,29041.0,27975.3333333333,27975.3333333333
230,50013,19,30597.4736842105,29453.8947368421,29453.8947368421
233,50108,13,71866.0,69567.2307692308,69567.2307692308
234,50108,26,43929.9615384615,42179.5769230769,42179.5769230769
235,10033,23,37653.6956521739,35842.4347826087,35842.4347826087
236,10033,68,25008.1911764706,22942.25,22942.25
237,10033,52,42795.2307692308,39505.3269230769,39505.3269230769
238,10033,81,24329.3827160494,21240.1111111111,21240.1111111111
239,10033,14,33774.2857142857,32084.2857142857,32084.2857142857
240,10033,11,17275.2727272727,15408.2727272727,15408.2727272727
242,50108,14,35221.5,33974.5,33974.5
243,30103,20,23300.0,14351.55,14351.55
244,30103,14,16480.0,12206.2857142857,12206.2857142857
245,90011,11,42540.2727272727,39990.8181818182,39990.8181818182
246,10033,35,25114.8571428571,22081.6857142857,22081.6857142857
247,10033,75,14288.92,11768.68,11768.68
248,30103,11,23636.0909090909,19862.7272727273,19862.7272727273
249,30103,15,16854.8,10534.0666666667,10534.0666666667
250,10033,39,22723.6666666667,20850.8974358974,20850.8974358974
251,10033,45,16337.1111111111,12343.1555555556,12343.1555555556
252,10033,43,23164.8604651163,20507.1395348837,20507.1395348837
253,10033,50,17519.76,16583.98,16583.98
254,10033,30,14168.3666666667,9927.56666666667,9927.56666666667
255,450358,12,19940.3333333333,16230.5833333333,16230.5833333333
256,490024,12,10732.6666666667,8945.33333333333,8945.33333333333
259,100007,11,14175.7272727273,9949.81818181818,9949.81818181818
260,140208,14,46322.2857142857,34312.9285714286,34312.9285714286
261,70022,11,18589.5454545455,17257.2727272727,17257.2727272727
262,10092,16,8615.125,7703.125,7703.125
264,10033,34,21908.3235294118,15641.2058823529,15641.2058823529
280,10033,100,14277.06,11788.37,11788.37
281,10033,66,9283.72727272727,7444.9696969697,7444.9696969697
282,10033,14,6555.0,5353.0,5353.0
283,10033,21,12967.5238095238,11019.1428571429,11019.1428571429
286,10033,91,18667.2527472527,16427.032967033,16427.032967033
287,10033,114,10188.298245614,7503.14912280702,7503.14912280702
291,10033,125,13206.4,10526.296,10526.296
292,10033,143,10937.0629370629,7598.72727272727,7598.72727272727
293,10033,23,6810.52173913043,4829.26086956522,4829.26086956522
296,110029,15,10412.6,9588.86666666667,9588.86666666667
299,10033,26,14778.8076923077,13747.0384615385,13747.0384615385
300,10033,41,8730.41463414634,6012.36585365854,6012.36585365854
301,10033,12,6037.75,5037.75,5037.75
302,50625,16,10886.75,8714.3125,8714.3125
303,10033,14,6596.57142857143,4293.0,4293.0
304,70025,12,10097.3333333333,8436.83333333333,8436.83333333333
305,10033,11,5718.27272727273,4644.45454545455,4644.45454545455
306,10033,11,12774.7272727273,12086.6363636364,12086.6363636364
307,50262,11,16768.8181818182,13319.1818181818,13319.1818181818
308,10033,45,10767.3111111111,8786.11111111111,8786.11111111111
309,10033,50,7105.16,5406.44,5406.44
310,10033,40,5334.125,4116.0,4116.0
311,90011,12,6208.58333333333,4423.0,4423.0
312,10033,34,7494.41176470588,5231.02941176471,5231.02941176471
313,10033,29,5921.03448275862,4525.0,4525.0
314,10033,76,17097.3157894737,11893.1184210526,11893.1184210526
315,10033,52,10145.3269230769,6383.05769230769,6383.05769230769
316,50625,12,8403.16666666667,6706.75,6706.75
326,10033,22,44294.4545454545,38494.8181818182,38494.8181818182
327,10033,19,20481.8947368421,15263.2631578947,15263.2631578947
328,10033,40,11167.575,9411.575,9411.575
329,10033,36,34739.8333333333,32961.0555555556,32961.0555555556
330,10033,62,18322.5322580645,15580.3387096774,15580.3387096774
331,10033,37,13254.2702702703,9365.37837837838,9365.37837837838
332,100007,12,38715.0833333333,25229.1666666667,25229.1666666667
333,10033,12,20398.1666666667,14358.6666666667,14358.6666666667
334,100007,25,12201.96,7596.56,7596.56
335,50625,11,84729.1818181818,75472.9090909091,75472.9090909091
336,30103,15,23752.8,11117.4666666667,11117.4666666667
337,50454,13,22209.9230769231,18914.7692307692,18914.7692307692
